Area(sqft),Price(Rs),Address,BHK,Appartment Type
360.0,1500000,Uttam Nagar West,1,BHK Builder Floor
445,1750000,"Partap Floors, Uttam Nagar East, Uttam Nagar",1,BHK Builder Floor
360.0,1600000,Uttam Nagar West,1,BHK Builder Floor
450,2200000,Chhattarpur Enclave Phase2,1,BHK Builder Floor
650,8200000,Vasant Kunj,1,BHK Apartment
450,2000000,"Guru Hargobind Enclave, Chhattarpur",1,BHK Builder Floor
450,1600000,"Neb Sarai, Sainik Farm",1,BHK Builder Floor
400,1600000,Uttam Nagar West,1,BHK Apartment
400,2400000,Rohini Sector 25,1,BHK Builder Floor
220,700000,Uttam Nagar West,1,BHK Builder Floor
500,6000000,"DDA Sunveiw Apartments, Dwarka Sector 11",1,BHK Apartment
400,1700000,Mehrauli,1,BHK Builder Floor
432.0,1600000,"Rajpur Khurd Extension, Rajpur",1,BHK Apartment
480,2000000,Suri D.S.B,1,BHK Builder Floor
300,1700000,Chhattarpur,1,BHK Builder Floor
650,8300000,Vasant Kunj,1,BHK Apartment
350,2550000,"J R Designers Floors, Rohini",1,BHK Builder Floor
400,1700000,"Planner N Maker Homes, Uttam Nagar West",1,BHK Apartment
250,1300000,"Khanpur, Madangir",1,BHK Builder Floor
450,1490000,"SB Residency, Dwarka Mor",1,BHK Apartment
360,1550000,Uttam Nagar,1,BHK Builder Floor
750,4800000,"Paryatan Vihar, Vasundhara Enclave",1,BHK Apartment
650,8500000,Vasant Kunj,1,BHK Apartment
405.0,1900000,Dwarka Mor,1,BHK Builder Floor
500,4000000,Janakpuri,1,BHK Apartment
600,9000000,"DDA Flats Vasant Kunj, Vasant Kunj",1,BHK Apartment
390,2300000,Rohini Sector 25,1,BHK Builder Floor
550,2500000,"Neb Sarai, Sainik Farm",1,BHK Builder Floor
550,1700000,Chhattarpur,1,BHK Builder Floor
